[2024-11-16 09:44:15.544]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-16 09:44:15.572]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-16 09:44:15.695]	 Already installed "tmux-cpu"
[2024-11-16 09:44:15.695]	 Already installed "tmux-copycat"
[2024-11-16 09:44:15.695]	 Already installed "tmux-power"
[2024-11-16 09:44:15.722]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-16 09:44:15.758]	 Updating all plugins!
[2024-11-16 09:44:15.758]	 
[2024-11-16 09:44:18.137]	   "tmux-copycat" update success
[2024-11-16 09:44:18.137]	   "tmux-cpu" update success
[2024-11-16 09:44:18.142]	     | Already up to date.
[2024-11-16 09:44:18.142]	     | Already up to date.
[2024-11-16 09:44:18.703]	   "tmux-power" update success
[2024-11-16 09:44:18.709]	     | Already up to date.
[2024-11-16 09:44:18.737]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-16 09:44:18.845]	 Done.

[2024-11-16 20:41:05.507]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-16 20:41:05.539]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-16 20:41:05.630]	 Already installed "tmux-cpu"
[2024-11-16 20:41:05.631]	 Already installed "tmux-power"
[2024-11-16 20:41:05.635]	 Already installed "tmux-copycat"
[2024-11-16 20:41:05.672]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-16 20:41:05.715]	 Updating all plugins!
[2024-11-16 20:41:05.715]	 
[2024-11-16 20:41:06.970]	   "tmux-power" update success
[2024-11-16 20:41:06.970]	   "tmux-cpu" update success
[2024-11-16 20:41:06.970]	   "tmux-copycat" update success
[2024-11-16 20:41:06.975]	     | Already up to date.
[2024-11-16 20:41:06.975]	     | Already up to date.
[2024-11-16 20:41:06.975]	     | Already up to date.
